country,year,"NGDPDPC_PIB per capita, preços atuais ","PCPIPCH_taxa de inflação, média de pre","PPPPC_PIB per capita, PPP (dólares i"
ARG,1980,8361.209,,7178.036
ARG,1981,6671.428,,7275.713
ARG,1982,3257.853,,7357.928
ARG,1983,3962.735,,7820.674
ARG,1984,4374.783,,8126.537
ARG,1985,3248.745,,7669.67
ARG,1986,3857.027,,8276.808
ARG,1987,3909.984,,8598.493
ARG,1988,4524.498,,8622.165
ARG,1989,2867.307,,8230.443
ARG,1990,4857.796,,8250.739
ARG,1991,6429.454,,9299.5
ARG,1992,7653.711,,10349.782
ARG,1993,7796.24,,11092.266
ARG,1994,8378.735,,11837.547
ARG,1995,8295.123,,11598.017
ARG,1996,8645.455,,12315.6
ARG,1997,9196.516,,13388.597
ARG,1998,9283.175,0.925,13903.773
ARG,1999,8709.072,-1.167,13475.988
ARG,2000,8638.543,-0.939,13529.296
ARG,2001,8085.356,-1.065,13091.494
ARG,2002,2997.621,25.869,11733.027
ARG,2003,3761.088,13.443,12914.25
ARG,2004,4314.098,4.416,14308.623
ARG,2005,5163.55,9.642,15911.198
ARG,2006,5976.082,10.898,17549.661
ARG,2007,7315.726,8.83,19456.172
ARG,2008,9146.79,8.585,20433.482
ARG,2009,8337.811,6.27,19155.297
ARG,2010,10412.974,10.461,21008.87
ARG,2011,12787.806,9.775,22469.14
ARG,2012,13889.792,10.043,22396.499
ARG,2013,14488.829,10.619,23065.982
ARG,2014,13208.831,,22627.914
ARG,2015,14895.316,,23210.094
ARG,2016,12772.868,,22701.934
ARG,2017,14618.327,25.675,23514.667
ARG,2018,11786.433,34.277,24498.379
ARG,2019,9941.59,53.548,23535.013
ARG,2020,8489.332,42.015,22302.151
ARG,2021,10610.191,48.409,26015.237
ARG,2022,13702.23,72.431,29271.003
ARG,2023,13908.489,133.489,29522.706
ARG,2024,13523.326,219.885,29553.77
ARG,2025,14358.848,41.263,31311.011
ARG,2026,13895.282,16.378,32817.656
ARG,2027,14633.434,8.547,34349.342
ARG,2028,15382.449,7.473,35890.811
ARG,2029,16126.293,7.5,37467.011
ARG,2030,16845.068,7.5,39003.947
BRA,1980,1229.883,90.227,4427.939
BRA,1981,1382.548,101.737,4532.319
BRA,1982,1446.228,100.574,4736.64
BRA,1983,1134.932,135.02,4653.791
BRA,1984,1105.852,192.121,4971.614
BRA,1985,1719.515,226.029,5420.615
BRA,1986,1955.069,147.137,5828.799
BRA,1987,2087.445,228.327,6070.43
BRA,1988,2289.424,629.118,6186.153
BRA,1989,3087.928,1430.724,6518.464
BRA,1990,3106.116,2947.733,6291.047
BRA,1991,2677.837,432.772,6460.698
BRA,1992,2523.736,951.956,6470.632
BRA,1993,2787.164,1927.381,6823.181
BRA,1994,3495.239,2075.827,7225.904
BRA,1995,4851.99,66.008,7584.731
BRA,1996,5204.574,15.757,7669.11
BRA,1997,5321.137,6.926,7941.583
BRA,1998,5123.549,3.196,7934.334
BRA,1999,3501.438,4.859,7963.272
BRA,2000,3751.971,7.044,8333.612
BRA,2001,3163.671,6.84,8527.042
BRA,2002,2844.405,8.45,8813.197
BRA,2003,3077.735,14.714,8982.016
BRA,2004,3647.959,6.598,9643.571
BRA,2005,4806.171,6.87,10151.103
BRA,2006,5906.244,4.184,10761.746
BRA,2007,7374.237,3.641,11605.183
